"SJALL014946_D1"	"SJALL014947_D1"	"SJALL014949_D1"	"SJALL014950_D1"	"SJALL014952_D1"
"DDX11L1"	0	5	0	0	2
"WASH7P"	12	90	60	37	21
"MIR6859-1"	1011	1506	565	644	56
"MIR1302-2HG"	0	0	0	0	0
"MIR1302-2"	0	0	0	0	0
"FAM138A"	0	6	0	0	0
"OR4G4P"	0	0	0	0	0
"OR4G11P"	0	0	0	0	0
"OR4F5"	0	0	0	0	0
"CICP27"	0	0	0	0	1
"RNU6-1100P"	0	0	0	0	0
"WASH9P"	81	185	118	40	52
"MIR6859-2"	0	0	0	0	56
"RPL23AP24"	0	23	0	0	19
"WBP1LP7"	0	0	0	0	0
"OR4F29"	0	0	0	0	0
"CICP7"	0	0	0	0	0
"MTND1P23"	137	49	102	33	81
"MTND2P28"	471	888	515	337	1166
"MTCO1P12"	934	1570	1513	956	1528
"MTCO2P12"	323	1131	778	634	2049
"MTATP8P1"	0	0	36	0	36
"MTATP6P1"	4735	6381	5091	3295	8991
"MTCO3P12"	465	2688	2178	1254	2437
"WBP1LP6"	0	21	0	0	0
"OR4F16"	0	0	0	0	0
"CICP3"	0	3	0	0	0
"RNU6-1199P"	0	89	73	0	0
"FAM87B"	13	11	3	7	26
"LINC00115"	107	116	77	91	122
"LINC01128"	54	68	105	65	86
"FAM41C"	1	1	1	1	3
"TUBB8P11"	0	0	0	0	7
"LINC02593"	0	4	3	1	2
"SAMD11"	0	2	0	0	0
"NOC2L"	830	614	359	400	478
"KLHL17"	227	194	280	93	443
"PLEKHN1"	5	0	2	0	3
"PERM1"	0	0	2	0	1
"HES4"	0	60	93	10	65
"ISG15"	102	88	95	52	1650
"AGRN"	16	116	98	23	275
"RNF223"	10	8	27	7	12
"C1orf159"	48	44	146	31	50
"LINC01342"	0	0	3	0	1
"MIR200B"	0	0	0	0	40
"MIR200A"	0	0	0	69	0
"MIR429"	0	0	0	0	0
"TTLL10-AS1"	5	1	5	0	1
"TTLL10"	0	0	1	0	4
"TNFRSF18"	0	104	378	6	51
"TNFRSF4"	41	223	136	17	138
"SDF4"	475	715	431	300	436
"B3GALT6"	453	173	516	561	522
"C1QTNF12"	3	173	79	12	58
"UBE2J2"	193	340	277	214	221
"LINC01786"	35	24	34	23	29
"SCNN1D"	77	79	134	72	92
"ACAP3"	704	717	846	205	345
"MIR6726"	0	0	0	0	0
"PUSL1"	390	265	140	144	167
"INTS11"	782	1730	968	605	901
"MIR6727"	0	0	0	0	0
"CPTP"	167	308	272	310	239
"TAS1R3"	16	238	257	139	180
"DVL1"	473	352	283	189	227
