"R1_Read_Count"	"R2_Read_Count"	"R4_Read_Count"
"A1BG"	1295	252	353
"A2M"	587	1128	1977
"A2MP1"	0	14	0
"NAT1"	589	651	927
"NAT2"	0	2	0
"SERPINA3"	0	0	0
"AADAC"	0	0	0
"AAMP"	3992	2460	4644
"AANAT"	16	2	0
"AARS1"	3675	4758	9976
"ABAT"	433	546	649
"ABCA1"	27859	2298	6907
"ABCA2"	2497	1604	743
"ABCA3"	311	28	78
"ABCB7"	4961	2239	4154
"ABCF1"	2214	2594	2673
"ABCA4"	20	26	788
"ABL1"	1488	4795	1452
"AOC1"	0	152	10
"ABL2"	4306	2897	3542
"ABO"	16	14	0
"ABR"	3048	1122	1362
"ACAA1"	2079	1669	1607
"ACACA"	4285	2226	1858
"ACACB"	1975	367	569
"ACADL"	0	0	0
"ACADM"	6222	5504	9172
"ACADS"	944	637	981
"ACADSB"	1182	530	1221
"ACADVL"	10989	10201	9083
"ACAT1"	976	1954	1717
"ACAT2"	1413	1626	2885
"ASIC2"	0	0	130
"ASIC1"	0	3	4
"ACHE"	121	104	170
"ACLY"	9348	7063	11110
"ACO1"	1359	899	1130
"ACR"	0	9	0
"ACO2"	3411	2340	2701
"ACOX1"	9075	6834	9197
"ACP1"	8342	3493	8903
"ACP2"	304	524	435
"ACP5"	224	296	583
"ACP3"	0	921	42
"ACRV1"	0	3	12
"ACTA1"	0	3	1
"ACTA2"	46	95	48
"ACTB"	48652	91054	51925
"ACTBP2"	3	1	1
"ACTBP4"	92	82	20
"ACTBP7"	0	1	0
"ACTBP8"	0	27	0
"ACTBP9"	0	1	0
"ACTC1"	0	0	0
"ACTG1"	113424	58594	83849
"ACTG2"	0	0	0
"ACTG1P1"	244	62	139
"ACTG1P3"	77	127	71
"ACTN4"	6893	9805	2993
"ACTG1P9"	1	0	1
"ACTG1P10"	0	3	2
"ACTL6A"	2880	3589	5335
"ACTN1"	1836	9605	1578
"ACTN2"	0	0	15
"ACTN3"	14	0	4
"ACVR1"	262	367	774
"ACVR1B"	1508	1100	124
"ACVR2A"	109	1509	61
"ACVR2B"	932	2791	5146
"ACVRL1"	19	108	90
"ACY1"	0	208	241
"ACYP1"	349	640	1000
"ACYP2"	254	408	795
"ADA"	6381	3880	6190
"ADAM8"	946	3128	390
"ADAM10"	17314	19899	14288
"ADAR"	18639	19261	20728
"ADARB1"	198	1024	110
"ADARB2"	1482	230	388
"ADCY1"	0	44	0
"ADCY2"	0	18	8
"ADCY3"	2023	3050	1131
"ADCY5"	0	14	19
"ADCY6"	2476	10217	2402
"ADCY7"	11433	4582	1066
"ADCY8"	0	0	0
"ADCY9"	984	1563	702
"ADCYAP1"	0	0	0
"ADCYAP1R1"	0	0	0
"ADD1"	11248	6299	6001
"ADD2"	755	516	930
"ADD3"	10879	27090	25659
"PLIN2"	664	4372	7375
"ADH1A"	0	6	3
"ADH1B"	15	61	94
"ADH1C"	0	2	13
"ADH4"	0	0	0
"ADH5"	5544	4209	8474
"ADH6"	2	0	0
"ADH7"	0	0	0
"ADK"	1961	2266	709
"ADM"	294	1003	148
"ADORA1"	0	2	5
"ADORA2A"	405	579	207
"ADORA2B"	0	68	10
"ADORA2BP1"	0	0	0
"ADORA3"	0	39	45
"ADPRH"	109	176	127
"PARP1"	32118	31419	29998
"PARP4"	9826	9463	5495
"PARP1P1"	2	3	4
"PARP1P2"	0	0	1
"ADRA1D"	0	0	0
"ADRA1B"	0	0	0
"ADRA1A"	0	0	0
"ADRA2A"	0	269	10
"ADRA2B"	0	4	50
"ADRA2C"	297	2	15
"ADRB1"	31	50	5
"ADRB2"	306	675	1054
"ADRB3"	0	0	0
"GRK2"	16182	16318	29287
"GRK3"	4203	2376	9013
"ADSL"	7516	3762	6485
"ADSS2"	3154	5538	4732
"AP2A1"	1314	1941	843
"AP2A2"	1723	2367	1483
"AP1B1"	24898	15402	4564
"AP2B1"	9372	7939	9383
"AP1G1"	5112	5886	5574
"AEBP1"	9508	22292	1325
"TLE5"	6407	2859	3434
"CRISP1"	0	0	0
"AFG3L1P"	1278	1710	968
"AFM"	0	0	0
"AFP"	0	0	0
"AGA"	1132	775	1119
"ACAN"	0	0	0
"AGER"	221	479	401
"AGL"	1577	2449	406
"AGRP"	0	17	69
"JAG1"	86	437	112
"AGT"	0	3	0
"AGTR1"	0	9	0
"AGTR2"	0	0	0
"APLNR"	0	2	3
"AGXT"	0	0	0
"NR0B1"	0	0	0
"AHCY"	2362	2221	2488
"AHR"	636	4053	599
"AHSG"	0	0	0
"AIF1"	532	4003	10532
"CRYBG1"	9128	6756	7233
"AK1"	734	271	754
"AK2"	8477	9621	10351
"AK4"	124	2198	53
"AK4P1"	137	333	25
"AKT1"	6368	2469	5184
"AKT2"	8006	3772	2208
"ALAD"	1699	1588	2115
"ALAS1"	5046	2782	8914
"ALB"	32	4	0
"ALCAM"	8784	3010	313
"ABCD1"	1520	281	507
"ALDH1A1"	506	715	533
"ALDH2"	138	1198	306
"ALDH3A1"	0	0	0
"ALDH1B1"	221	169	439
"ALDH1A3"	169	79	285
"ALDH3B1"	151	1527	229
"ALDH3B2"	23	0	0
"ALDH9A1"	4926	2065	2245
"ALDH3A2"	366	1530	1762
"ABCD2"	120	209	590
"ALDOA"	6710	9831	5376
"ALDOAP2"	0	0	0
"ALDOB"	0	0	0
"ALDOC"	228	358	448
"AKR1B1"	2920	2486	3409
"AKR1B1P2"	0	0	0
"ALK"	63	0	0
"ALOX12"	30	29	31
"ALOX5"	759	8755	14749
"ALOX5AP"	488	5029	1244
"ALOX12B"	0	0	0
"ALOX12P1"	0	0	0
"ALOX12P2"	0	11	10
"ALOX15"	0	310	50
"ALOX15B"	0	11	5
"ALPI"	0	0	0
"ALPL"	0	654	161
"ALPP"	0	0	0
"ALPG"	0	0	0
"ALX3"	8	0	0
"AMBN"	0	0	0
"AMBP"	0	0	0
"AMD1"	23085	10117	9000
"AMD1P2"	0	0	0
"AMELX"	0	0	0
"AMELY"	0	0	0
"AMFR"	13391	5592	8030
"AMH"	46	17	6
"AMHR2"	0	0	0
"AMPD1"	0	11	17
"AMPD2"	3568	2136	1611
"AMPD3"	400	2877	640
"AMPH"	0	0	0
"BIN1"	5193	728	2026
"AMT"	1015	850	369
"AMY1A"	157	54	0
"AMY1B"	39	11	0
"AMY1C"	174	56	0
"AMY2A"	315	134	0
"AMY2B"	5873	2071	655
"AMYP1"	0	20	0
"ANG"	72	32	65
"ANGPT1"	297	146	360
"ANGPT2"	3597	73	39
"ANK1"	1741	2292	2657
"ANK2"	107	81	330
"ANK3"	69	95	95
"ANPEP"	252	2824	211
"SLC25A4"	100	401	306
"SLC25A5"	16432	7728	11228
"SLC25A6"	12543	5560	6663
"ANXA1"	1294	23510	3692
"ANXA2"	2374	8874	1974
"ANXA2P1"	0	0	3
"ANXA2P2"	8	15	4
"ANXA2P3"	0	0	0
"ANXA3"	230	15097	2931
"ANXA4"	498	3346	1103
"ANXA5"	741	1771	3656
"ANXA6"	11658	9803	5355
"ANXA7"	6619	6432	7515
"ANXA11"	3742	6865	3577
"ANXA13"	0	0	0
"AOAH"	996	3621	485
"AOC2"	105	88	59
"AOX1"	0	80	33
"APAF1"	6868	9563	10344
"NUDT2"	700	737	2313
"APOF"	0	0	9
"APBA1"	253	72	21
"APBA2"	86	115	153
"APBB1"	1089	111	188
"APBB2"	224	217	1486
"APC"	5223	7123	4657
"APCS"	0	0	0
"AIRE"	0	13	0
"APEH"	4106	2244	3803
"APEX1"	4525	4869	6226
"BIRC2"	6639	4466	5938
"BIRC3"	3925	1571	1777
"XIAP"	5298	4420	4858
"BIRC5"	2761	1854	6745
"APLP1"	0	0	4
"APLP2"	2326	4931	7196
"APOA1"	37	21	57
"APOA2"	0	0	0
"APOA4"	0	0	0
"APOB"	0	3	38
"APOBEC1"	0	0	0
"APOC1"	81	98	435
"APOC1P1"	0	0	0
"AQP8"	0	1	0
"APOC2"	0	0	22
"APOC3"	0	0	0
"APOC4"	0	0	0
"APOD"	46	10	4
"APOE"	835	515	2099
"APOH"	0	0	0
"APP"	5556	8864	7606
"APRT"	2364	1563	2389
"KLK3"	0	0	0
"FAS"	312	1579	596
"FASLG"	21	48	49
"SHROOM2"	5	5	0
"AQP1"	1335	270	770
"AQP2"	0	0	0
"AQP3"	215	77	173
"AQP4"	0	0	0
"AQP5"	0	0	0
"AQP6"	0	0	0
"AQP7"	0	0	4
"AQP9"	112	4746	317
"AR"	8754	8	6
"ABCC6"	0	95	31
"ARAF"	1149	934	489
"ARCN1"	4102	4096	5064
"TRIM23"	2431	1867	2170
"AREG"	1141	101	17
"ARF1"	8353	7134	7195
"ARF3"	1993	2437	1700
"ARF4"	2289	2426	2874
"ARL4D"	792	25	84
"ARF4P1"	0	0	0
"ARF5"	1226	942	1138
"ARF6"	6396	5927	4934
"ARG1"	269	8304	791
"ARG2"	43	20	43
"RHOA"	37617	33069	32400
"RHOB"	4795	2511	1464
"RHOC"	4021	1369	2513
"RND3"	36	779	115
"RHOG"	227	1011	434
"ARHGAP1"	447	1251	577
"ARHGAP4"	48238	9437	10367
"ARHGAP5"	23329	14905	23166
"ARHGAP6"	92	259	50
"ARHGDIA"	1814	1440	824
"ARHGDIB"	22463	34745	20342
"ARHGDIG"	21	0	0
"RHOH"	12980	1240	5229
"ARL1"	1875	1803	2951
"PHOX2A"	0	0	0
"ARL2"	1366	788	1850
"ARL3"	412	488	790
"ARNT"	3502	3233	3085
"ARNTL"	721	989	770
"ARR3"	0	0	0
"ARRB1"	3872	3905	1395
"ARRB2"	1586	3473	2124
"ARSA"	382	458	469
"ARSB"	1172	2086	1061
"STS"	743	3366	477
"ARSD"	6602	3944	3693
"ARSL"	0	8	0
"ARSF"	0	0	0
"ART1"	0	0	0
"ART3"	0	0	0
"ART4"	222	160	358
"ARVCF"	938	747	1064
"ASAH1"	4021	6377	3507
"ASCL1"	0	0	0
"ASCL2"	0	114	39
"ASGR1"	36	112	21
"ASGR2"	0	36	0
"ASIP"	0	14	19
"ASL"	1423	1369	1306
"ASLP1"	167	163	59
"ASMT"	18	4	10
"GET3"	2696	1809	4601
"ASNS"	826	192	549
"ASPA"	28	5	6
"ASPH"	182	1220	488
"ASS1"	0	23	69
"ASS1P2"	14	26	5
"ASS1P4"	0	0	0
"ASS1P5"	0	0	0
"ASS1P6"	0	0	0
"ASS1P8"	0	0	0
"ASS1P9"	0	0	0
"ASS1P10"	0	0	0
"ASS1P14"	0	0	0
"ASTN1"	0	18	15
"SERPINC1"	0	4	6
"ZFHX3"	155	2446	113
"ATF1"	1994	1925	1918
"ATF3"	668	308	208
"ATF4"	28977	11215	16539
"ATF4P1"	38	6	5
"ATIC"	705	793	574
"ATM"	29961	30325	43738
"RERE"	4406	5376	2958
"ATOH1"	0	0	0
"ATOX1"	427	441	599
"ATP1A1"	5465	5760	6980
"ATP1A2"	0	0	6
"ATP1A3"	0	10	30
"ATP12A"	0	0	0
"ATP1A4"	0	13	0
"ATP1B1"	74	133	101
"ATP1B2"	49	31	20
"ATP1B3"	4939	5008	4672
"ATP1B3P1"	0	1	1
"ATP1B1P1"	19	178	59
"FXYD2"	0	86	191
"ATP2A1"	0	53	68
"ATP2A2"	6839	6754	4727
"ATP2A3"	22243	7681	6965
"ATP2B1"	1307	7152	4441
"ATP2B2"	0	0	18
"ATP2B3"	0	0	16
"ATP2B4"	10311	10962	15035
"ATP4A"	0	0	0
"ATP4B"	0	68	0
"ATP5F1A"	45101	19149	35735
"ALDH7A1"	242	1670	2038
"ATP5F1AP2"	0	0	0
"ATP5F1B"	32136	15753	34933
"ATP5F1BP1"	0	0	5
"ATP5F1C"	11805	6261	14655
"ATP5F1D"	245	252	232
"ATP5F1E"	9780	8269	13258
"ATP5PB"	15918	6885	13281
"ATP5MC1"	995	1127	1681
"ATP5MC2"	9254	5561	10439
"ATP5MC3"	5284	2833	5663
"ATP5MC2P1"	0	0	0
"ATP5ME"	2221	1737	3305
"ATP5PF"	1166	1293	2314
"ATP6V1A"	6081	6608	6673
"ATP6V1B1"	0	0	0
"ATP6V1B2"	7761	10559	4101
"ATP6V0C"	432	364	188
"ATP6V1C1"	2653	3744	3652
"ATP6V1E1"	4064	4769	10329
"ATP6V0B"	6593	3849	6699
"ATP6V1G2"	59	40	32
"ATP6V0A1"	301	781	538
"ATP6AP1"	3722	1822	1423
"ATP7A"	3096	2684	2688
"ATP5PO"	6023	3918	6859
"ATP7B"	304	235	179
"ALDH7A1P1"	17	18	8
"ALDH7A1P3"	0	0	0
"ALDH7A1P4"	0	0	0
"ATR"	8211	6954	7718
"ATRX"	13215	11762	12666
"KIF1A"	0	0	2
"AUH"	4376	2165	2184
"AUP1"	6305	3685	5205
"AVP"	0	0	0
"AVPR1A"	18	15	6
"AVPR1B"	0	0	0
"AVPR2"	0	5	0
"AXL"	38	47	147
"AZGP1"	0	4	4
"AZU1"	0	6492	424
"B2M"	223918	255428	404613
"BAAT"	21	1	0
"BACH1"	12722	11071	10284
"BAD"	1090	628	1775
"BAG1"	6763	1842	2941
"ADGRB1"	51	4	12
"ADGRB2"	22	107	20
"ADGRB3"	163	0	8
"BAK1"	2125	622	1576
"NKX3-2"	0	0	2
"BARD1"	13339	9539	14149
"BAX"	2300	1455	1356
"BBS1"	623	741	808
"BBS2"	1944	1268	2747
"BBS4"	915	354	540
"BCAT1"	2368	5430	735
"BCAT2"	547	611	372
"BCHE"	0	0	0
"BCKDHA"	3121	1295	999
"BCKDHB"	1331	1526	1314
"CCND1"	411	20	443
"BCL2"	10679	8306	12256
"BCL2A1"	191	3848	1271
"BCL2L1"	3200	3345	3469
"BCL2L2"	1564	1428	1125
"BAK1P1"	244	70	144
"BAK1P2"	0	0	0
"BCL3"	238	133	121
"BCL6"	135	5803	639
"BCL7A"	14950	2524	2585
"NBEAP1"	23	40	34
"BCL9"	198	113	284
"TNFRSF17"	41	73	139
"HCN2"	0	5	0
"OPN1SW"	29	0	4
"BCR"	31115	9305	12981
"BCS1L"	1581	1292	1695
"BCYRN1"	2	12	10
"BCYRN1P1"	2	7	9
"BDH1"	844	1580	551
"BDKRB1"	0	0	0
"BDKRB2"	0	3	0
"BDNF"	25	3	9
"CFB"	30	42	189
"BFSP1"	0	15	6
"BGLAP"	0	14	2
"BGN"	0	326	0
"CEACAM1"	242	2135	584
"BHMT"	0	77	0
"BICD1"	2184	1555	1444
"BID"	1657	2527	3606
"BIK"	47	127	69
"PRDM1"	3861	833	612
"BLK"	9101	166	5384
"BLM"	2961	3724	6619
"BLMH"	5485	2236	4214
"CXCR5"	8	55	45
"BLVRA"	516	851	1434
"BLVRB"	2135	1310	3439
"BNC1"	0	0	0
"BMI1"	7279	3637	8984
"BMP1"	798	909	609
"BMP2"	158	1114	1518
"BMP3"	461	649	1558
"BMP4"	37	209	155
"BMP5"	0	46	221
"BMP6"	100	42	60
"BMP7"	0	0	0
"BMP8B"	4	33	475
"BMPR1A"	112	89	84
"BMPR1B"	0	3760	81
"BMPR2"	644	1217	485
"BMX"	0	1455	204
"POLR3D"	1812	1319	1121
"BNIP1"	1232	374	767
"BNIP2"	17314	12579	15129
"BNIP3"	581	429	1957
"BNIP3L"	16705	7362	7809
"BOK"	0	18	13
"DST"	304	420	471
"FOXL2"	0	0	0
"BPGM"	1795	1079	2889
"BPHL"	374	116	713
"BPI"	64	14052	961
"BRCA1"	3775	6480	14888
"BRAF"	4349	5316	4353
"BRCA2"	2205	5240	8963
"BRDT"	0	0	0
"ZFP36L1"	1791	2713	2178
"ZFP36L2"	37126	6607	8472
"BRS3"	0	0	25
"BSG"	4996	4956	7514
"BST1"	0	3286	812
"BST2"	1895	1808	5667
"BTC"	0	0	0
"BTD"	415	804	487
"KLF9"	662	3036	391
"KLF5"	43	620	52
"BTF3"	27813	9814	14136
"BTF3P11"	0	0	0
"BTF3P1"	0	0	0
"BTG1"	83262	20723	10214
"BTK"	19917	5479	17160
"BTN1A1"	30	107	3
"BUB1"	4870	4119	9370
"BUB1B"	2878	3722	7224
"BYSL"	484	653	1163
"TSPO"	1910	6322	4684
"C1QBP"	7642	2876	4966
"SERPING1"	108	131	551
"ERC2-IT1"	0	0	0
"C1QA"	534	452	2631
"C1QB"	315	514	2486
"C1QC"	193	161	599
"C1R"	521	263	711
"C1S"	398	185	831
"C2"	122	113	363
"C3"	74	63	92
"C3AR1"	151	1388	105
"C4A"	412	271	519
"C4B"	382	223	507
"C4BPA"	0	4	0
"C4BPB"	0	0	0
"CAPN5"	131	167	92
"C5"	1323	2670	3085
"C5AR1"	0	2311	78
"C6"	0	0	0
"C7"	444	230	1015
"C8A"	0	0	0
"C8B"	0	3	0
"C8G"	0	30	0
"OSGIN2"	1211	2698	1539
"C9"	0	0	0
"VPS51"	17952	3677	7321
"MRPL49"	2681	1519	4254
"ZNHIT2"	172	169	348
"MPPED2"	5807	2	6
"MYRF"	0	0	0
"TMEM258"	1969	1678	3651
"DAGLA"	0	37	4
"GAS8-AS1"	0	0	0
"FMNL1"	2276	2070	3140
"LDLRAD4"	24974	34989	18219
"PTTG1IP"	21113	5678	5657
"CFAP410"	605	425	483
"TMEM50B"	4527	1793	1805
"MPPED1"	0	0	0
"CA1"	8568	2819	10211
"CA2"	6437	2445	5013
"CA3"	173	34	148
"CA4"	0	775	90
"CA5A"	0	0	0
"CA5AP1"	0	0	0
"CA6"	0	1402	40
"CA7"	0	604	6
"CA8"	28	129	21
"CA9"	0	7	9
"CA11"	75	61	18
"CA12"	0	0	9
"CACNA1A"	57	11	153
"CACNA1B"	0	2	0
"CACNA1C"	3	41	253
"CACNA1D"	0	76	23
"CACNA1E"	0	54	55
"CACNA1F"	132	20	152
"CACNA1S"	0	0	0
"DDR1"	2730	9816	1364
"CACNA2D1"	49	29	15
"CACNB1"	249	159	195
"CACNB2"	0	515	482
"CACNB3"	765	1352	514
"CACNB4"	94	3863	45
"CACNG1"	0	0	0
"SLC25A20"	3002	2083	2862
"SLC25A20P1"	0	0	0
"CAD"	1589	4387	2165
"CALB1"	0	0	0
"CALB2"	0	0	0
"S100G"	0	0	0
"CALCA"	0	0	0
"CALCB"	0	0	5
"CALCR"	0	0	5
"CALD1"	143	977	183
"CALM1"	26911	28511	18274
"CALM1P1"	0	0	0
"CALM1P2"	0	0	0
"CALM2"	27696	27234	35936
"CALM2P2"	6	3	7
"CALM2P3"	0	5	3
"CALM3"	2082	4976	2923
"CALML3"	0	0	2
"CALR"	9799	13837	10146
"CALU"	5301	4355	8533
"CAMK4"	272	164	586
"CAMK2A"	0	0	0
"CAMK2B"	0	0	2
"CAMK2D"	867	1932	1615
"CAMK2G"	3377	3444	3189
"CAMLG"	3239	1175	2624
"CAMP"	0	37685	2267
